PRENOTAZIONE_MUDE|PRENOTAZIONE_DATA|CONF_PRENOTAZIONE_MUDE|CONF_PRENOTAZIONE_DATA|RICHIESTA_MUDE|DESC_STATO_ISTANZA|RICHIESTA_DATA|RICHIESTA_COMUNE|LIVELLO_OPERATIVO|TIPO_INTERVENTO|CONTIENE_RURALE_STRUMENTALE|CONCESSIONE_CUP|CONCESSIONE_DATA|SAL_ZERO_MUDE|SAL_ZERO_DATA|SAL_INIZIALE_MUDE|SAL_INIZIALE_DATA|SAL_INT_1_MUDE|SAL_INT_1_DATA|SAL_INT_2_MUDE|SAL_INT_2_DATA|SAL_FINALE_MUDE|SAL_FINALE_DATA|SOL_UNICA_MUDE|SOL_UNICA_DATA|FINE_LAVORI_DATA|GEO_LON|GEO_LAT|GEO_CON
||||0803700200000020382013|ACCETTATA DA PA|05/03/2013|ARGELATO|B/C|DIRETTO|NO|D87J13003260008|27/03/2013|||0803700200000077292013|24/07/2013|||||0803700200000232002014|20/03/2014||||11,3485337306584|44,6420478284269|0
||||0803700200000051922013|ACCETTATA DA PA|07/06/2013|ARGELATO|B/C|DIRETTO|NO|D82F13017250008|02/08/2013|||||||||||0803700200000250892014|13/03/2014||11,3062185226743|44,6345385102188|0
||||0803800100000064602013|ACCETTATA DA PA|17/09/2013|ARGENTA|B/C|DIRETTO|NO|C92F13000710008|13/12/2013|||0803800100000414172014|22/12/2014||||||||||11,6985633658043|44,6686462767172|0
||||0803700300000006622012|ACCETTATA DA PA|31/07/2013|BARICELLA|B/C|DIRETTO|NO|G92F13000210008|20/09/2013|||||||||||0803700300000165952014|03/02/2014||11,5340656027143|44,647093360699|0
||||0803700300000009472012|ACCETTATA DA PA|31/07/2013|BARICELLA|B/C|DIRETTO|NO|G92F13000500008|12/10/2013|||||||||||0803700300000391462014|20/10/2014||11,5393269999239|44,6781426605002|0
||||0803700300000009772012|ACCETTATA DA PA|12/12/2012|BARICELLA|B/C|DIRETTO|NO|G92F13000160008|10/09/2013|||||||||||0803700300000154002013|14/02/2014||11,5755498585302|44,6652493330777|0
||||0803700300000010942012|ACCETTATA DA PA|10/01/2013|BARICELLA|B/C|DIRETTO|NO|G92F13000170001|16/09/2013|||||||||||0803700300000153702013|07/02/2014||11,5672985051853|44,678418163144|0
||||0803700300000034652013|ACCETTATA DA PA|31/07/2013|BARICELLA|B/C|DIRETTO|NO|G92F13000230008|30/09/2013|0803700300000178452014|03/02/2014|0803700300000232972014|07/02/2014|||||0803700300000368742014|16/10/2014||||11,5340656027143|44,647093360699|0
||||0803700300000054012013|ACCETTATA DA PA|03/07/2013|BARICELLA|B/C|DIRETTO|NO|G92F13000190001|20/09/2013|||||||||||0803700300000197792014|04/07/2014||11,532725724135|44,656670629647|0
||||0803700300000067242013|ACCETTATA DA PA|09/07/2013|BARICELLA|B/C|DIRETTO|NO|G92F13000200008|20/09/2013|||||||||||0803700300000175282014|04/07/2014||11,5915583421213|44,7053804080134|0
||||0803700300000074442013|ACCETTATA DA PA|16/10/2013|BARICELLA|B/C|DIRETTO|NO|G92F13000720008|20/12/2013|||0803700300000246382014|08/04/2014|||||0803700300000304972014|13/05/2014||||11,5393269999239|44,6781426605002|0
||||0803600100000012032012|ACCETTATA DA PA|03/01/2013|BASTIGLIA|B/C|DIRETTO|NO|G57J13000000008|20/02/2013|||||||||||0803600100000013102013|14/03/2013||11,0004058647901|44,7264125785259|0,333
